frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
0,0,0.59505576,0.61601617,0.4910202,0.5551581,0.615338515,0.4332934,0.5634182,0.65227283,0.3234652,0.52489334,0.6468046530000001,0.28435096,0.55025256,0.633336396,0.3497649,0.5266763,0.6358283360000001,0.24401778,0.5741156,0.762481434,0.4437549,0.5491062,0.7513275,0.47295368,0.50850165,0.800328177,0.24885249,0.47899702,0.78349513,0.4680678,0.5138369,0.9444507600000001,0.3110184,0.48905712,0.92804481,0.35509428
1,0,0.5958575,0.60284389,0.8192963,0.5537516,0.60171078,0.790779,0.54874784,0.65445644,0.52508175,0.5298658,0.6373747600000002,0.49914145,0.56157714,0.593734614,0.22225201,0.5656267,0.59463118,0.82628757,0.57110304,0.7416130700000001,0.8284336,0.537523,0.73604696,0.8572624,0.4910174,0.800780244,0.7773642,0.4729737,0.793250227,0.8355963,0.51421994,0.9558562860000002,0.84836227,0.49060294,0.9335541600000001,0.9405745
2,0,0.59566563,0.60354195,0.9195391,0.55346614,0.6009443000000001,0.8487253,0.5443565,0.6532055200000001,0.5891449,0.5305217,0.640920775,0.37559772,0.5645789,0.59471335,0.19598182,0.5692043,0.5928338900000001,0.75676537,0.56913567,0.74316792,0.8997621,0.5367692,0.7326160600000001,0.91918653,0.4912023,0.7997961400000001,0.8334459,0.47267964,0.7930730060000001,0.8460619,0.5145848,0.95261419,0.8308927,0.4909286,0.9303644460000001,0.8662543
3,0,0.59630007,0.60381024,0.8541028,0.55273813,0.599881733,0.85677177,0.5436122,0.6531004150000002,0.5452514,0.5309639,0.639968505,0.36850187,0.56297463,0.5950767900000001,0.20920011,0.568614,0.59270376,0.70578873,0.56936973,0.74251177,0.95025945,0.5359949,0.7317729100000001,0.93303317,0.48911956,0.7996151900000001,0.73375064,0.47253105,0.7941220430000001,0.87057626,0.5144197,0.9525099760000001,0.8212091,0.49046856,0.9302536100000001,0.901434
4,0,0.5958968,0.60435782,0.8836633,0.55274373,0.59943125,0.845224,0.54295444,0.651817045,0.5402428,0.53106976,0.6391595650000002,0.4049951,0.5633972,0.5952997600000001,0.19427851,0.5688804,0.5928362,0.7268964,0.56925195,0.7437657700000001,0.9413915,0.5366348,0.732264907,0.9482263,0.4899151,0.80028289,0.7951131,0.4729699,0.7947258330000001,0.8945659,0.51456594,0.95181262,0.8484736,0.49069446,0.9299073850000001,0.9221954
5,0,0.59599537,0.6040022450000001,0.8928058,0.5529324,0.6000305300000001,0.8111068,0.5436944,0.65186913,0.55674493,0.5312658,0.6394580500000001,0.37319034,0.5638812,0.594354926,0.19453815,0.56913316,0.59249322,0.7361482,0.56925064,0.7424219000000001,0.94920635,0.5362286,0.7320958700000001,0.93590367,0.48936856,0.799149714,0.75990266,0.47250047,0.7940084240000002,0.9154923,0.5153762,0.9518460600000002,0.90005267,0.491046,0.93275853,0.8645628
6,0,0.5960041,0.6041473900000001,0.8831686,0.5527238,0.599378263,0.8480478,0.542698,0.65170017,0.5194911,0.5306997,0.6393093300000001,0.37746736,0.5633242,0.59507162,0.19979,0.5687657,0.59295907,0.72279346,0.56948626,0.7435663400000001,0.944363,0.5362262,0.7318961100000001,0.93886065,0.48934016,0.8002113900000001,0.76898384,0.47283134,0.794517735,0.8867659,0.5145903,0.9518924800000002,0.8456909,0.49057567,0.9299135560000001,0.9227389
7,0,0.5959892,0.603572596,0.89604133,0.5528464,0.5990428950000001,0.83611923,0.54307187,0.6524408,0.5411664,0.5310832,0.63950678,0.38170505,0.5635864,0.59519691,0.1909814,0.5688845,0.5926137800000001,0.7429801,0.5702678,0.7430104,0.9387937,0.5367881,0.73273255,0.94708794,0.48939106,0.7996893300000001,0.7754216,0.47277048,0.7935071100000001,0.9172134,0.5144652,0.9524469900000001,0.83000344,0.49085677,0.9308000900000001,0.93299276
8,0,0.5955668,0.60321327,0.9293797,0.55241865,0.599816635,0.80471,0.5445997,0.6533704760000001,0.53679746,0.53116673,0.64036192,0.30969125,0.5515417,0.6090019760000001,0.13739239,0.5696462,0.5928769,0.70633346,0.5701843,0.7423324700000001,0.94930166,0.53660977,0.73249671,0.93161756,0.488685,0.799181966,0.74468654,0.47252756,0.7932919500000001,0.8927661,0.5154906,0.95227242,0.89817315,0.49089685,0.9322125230000001,0.8559692
9,0,0.5955917,0.602950183,0.910203,0.5532906,0.59870041,0.8556903,0.5441329,0.6535175900000001,0.56635636,0.5311642,0.63973734,0.32939723,0.5642675,0.5951501600000001,0.17482747,0.56931365,0.5924717700000001,0.66446835,0.5697742,0.743540006,0.94817215,0.53650457,0.7326834900000001,0.9361565,0.48935023,0.7998818740000001,0.7454648,0.47263685,0.7941272240000001,0.8669533,0.51452816,0.9526536250000001,0.83417094,0.49056292,0.9307411740000001,0.9033174
