Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,006","-0,006","1,023","0,000","-0,007","1,007","0,000","-0,003","1,004","0,005","-0,004","1,047","0,004","0,000","0,944","0,001","-0,003","0,955","-0,006","-0,005","1,020"
1,"0,009","-0,005","1,018","0,001","-0,001","1,001","0,001","0,001","1,005","0,010","-0,002","1,047","-0,005","-0,001","0,945","0,001","-0,007","0,956","-0,014","-0,007","1,021"
2,"0,002","-0,005","1,021","0,003","-0,006","1,006","-0,001","-0,003","0,999","0,011","-0,002","1,051","0,006","-0,002","0,941","0,004","-0,002","0,962","-0,016","-0,010","1,020"
3,"0,003","-0,006","1,027","0,002","-0,005","1,008","0,002","-0,006","1,003","0,000","0,001","1,049","0,001","0,003","0,939","0,001","0,004","0,956","-0,001","-0,004","1,015"
4,"-0,002","-0,015","1,030","-0,001","-0,001","1,002","0,000","-0,002","1,002","-0,011","-0,008","1,044","0,003","-0,003","0,941","-0,002","0,001","0,958","-0,001","-0,004","1,018"
5,"-0,003","-0,013","1,027","0,001","-0,004","1,009","0,002","0,001","1,001","-0,015","-0,010","1,050","0,001","0,003","0,936","0,001","0,000","0,958","0,008","-0,001","1,021"
6,"0,003","-0,007","1,030","0,003","0,003","1,005","-0,004","0,003","0,997","-0,008","-0,010","1,049","0,000","0,000","0,946","-0,002","-0,002","0,960","0,006","-0,002","1,018"
7,"0,002","-0,007","1,023","-0,003","-0,001","1,011","-0,003","0,004","1,002","-0,003","-0,009","1,051","0,001","0,001","0,943","0,003","0,002","0,963","0,004","0,002","1,009"
8,"0,000","-0,011","1,025","-0,002","0,000","1,010","0,002","-0,008","1,001","-0,001","-0,016","1,050","0,004","0,000","0,942","-0,001","0,001","0,958","0,003","0,001","1,017"
9,"-0,002","-0,015","1,024","0,001","-0,002","1,008","-0,006","-0,007","1,003","-0,006","-0,015","1,050","0,001","0,000","0,945","0,000","0,000","0,957","0,009","-0,013","1,024"
10,"-0,005","-0,017","1,026","-0,001","0,000","1,008","-0,002","-0,011","1,007","0,004","-0,009","1,047","-0,002","0,000","0,944","0,002","0,000","0,962","-0,006","-0,009","1,014"
11,"0,000","-0,011","1,026","0,005","-0,006","1,012","-0,005","-0,006","1,005","0,001","-0,016","1,049","0,006","-0,001","0,947","-0,004","-0,004","0,955","-0,006","-0,021","1,014"
12,"0,000","-0,011","1,028","-0,001","0,006","1,012","-0,006","-0,010","1,002","-0,006","-0,008","1,047","-0,001","-0,003","0,941","-0,003","0,000","0,963","0,000","-0,009","1,019"
13,"0,004","-0,014","1,022","0,005","0,002","1,009","-0,007","-0,005","1,000","-0,011","-0,005","1,045","0,002","0,002","0,947","-0,003","0,005","0,955","-0,001","-0,015","1,015"
14,"-0,004","-0,010","1,030","0,004","-0,003","1,007","0,001","-0,002","1,007","-0,005","-0,002","1,049","0,003","0,004","0,947","-0,002","-0,001","0,956","-0,004","-0,011","1,020"
15,"-0,004","-0,014","1,029","0,001","-0,004","1,004","0,001","0,000","1,007","-0,003","-0,005","1,045","-0,004","-0,003","0,940","-0,003","-0,002","0,955","-0,001","-0,001","1,025"
16,"-0,004","0,001","1,024","-0,001","0,001","1,006","0,000","-0,005","0,998","0,002","-0,001","1,050","0,002","-0,001","0,944","0,002","0,001","0,961","0,002","-0,008","1,021"
