phase,aspect,candidate_features,data_source,rationale
f1,Knä flex >90gr,mean_left_knee_angle/ mean_right_knee_angle,SAT,SAT left knee flexion angle directly quantifies whether the knee exceeds the required 90° starting position/ SAT right knee flexion angle directly quantifies whether the knee exceeds the required 90° starting position
f1,Knäskålarna riktade rakt fram,delta_knee_angle/ delta_knee_asymmetry,SAT/ MoLab,SAT left-right knee angle difference indicates whether kneecaps are symmetrically directed forward/ MoLab left-right knee angle difference directly quantifies kneecap alignment asymmetry
f1,Bäcken i neutralposition (lätt framåttippat),mean_trunk_angle/ mean_pelvis_tilt,SAT/ MoLab,SAT trunk sagittal angle captures pelvic orientation in the starting posture/ MoLab pelvis tilt is added because it measures slight anterior pelvic tilt more directly than SAT
f1,Hela bålen strax framför sittbensknölarna,delta_hip_height,SAT,SAT vertical hip displacement captures how far the trunk is positioned forward over the ischial tuberosities
f1,Överarmar neutralt längs med bålen utan rotation,forb_rms_wrist_acceleration,SAT,SAT wrist acceleration during preparation is low when arms hang passively neutral along the body without rotation
f1,Huvudet positionerat över bålen,mean_head_trunk_angle,SAT,SAT head-trunk angle measures whether the head is centred over the trunk longitudinal axis
f1,Nacke i neutral cervikallordos,mean_head_trunk_angle,SAT,SAT head-trunk angle serves as a proxy for cervical lordosis via head position relative to trunk
f2,Framåttippning av bäckenet och framåtfällning av bålen,delta_trunk_flexion/ delta_pelvis_tilt,SAT/ MoLab,SAT trunk flexion change quantifies the forward trunk lean during movement start/ MoLab pelvic tilt change is added because the aspect explicitly includes anterior pelvic tilt
f3,Rörelsen utförs med jämt flöde (fluid och smooth),forb_rms_trunk_acceleration/ uppr_rms_trunk_acceleration/ forb_rms_pelvis_acc,SAT/ MoLab,SAT RMS trunk acceleration in the preparation phase is used as the main proxy for movement smoothness/ SAT RMS trunk acceleration in the rise phase complements smoothness during the upward movement/ MoLab RMS pelvis acceleration during preparation provides a 3D measure of movement smoothness
f3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),forb_trunk_hip_correlation/ forb_delta_trunk_flexion/ forb_delta_pelvis_tilt/ forb_peak_pelvis_gyro,SAT/ MoLab,SAT hip-trunk trajectory correlation measures whether pelvis and trunk move forward together as a unit/ SAT trunk forward displacement confirms trunk continues moving with the pelvis during preparation/ MoLab pelvic tilt change confirms pelvis continues moving forward together with the trunk/ MoLab peak pelvis angular velocity captures the rotational intensity of pelvic forward movement
f3,Huvudet följer i linje med bålens längsaxel,forb_mean_head_trunk_angle,SAT,SAT head-trunk angle measures whether the head stays aligned with the trunk longitudinal axis during movement
f3,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,forb_rms_wrist_acceleration,SAT,SAT wrist acceleration reflects arm activity. low values indicate arms follow passively without active propulsion
f3,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,forb_delta_trunk_flexion/ forb_max_trunk_angular_velocity,SAT,SAT trunk flexion range quantifies whether sufficient forward reach is achieved before seat-off/ SAT peak trunk angular velocity captures whether trunk moves with adequate momentum forward
f3,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),uppr_total_knee_extension/ uppr_peak_knee_extension_velocity/ uppr_peak_shank_gyro,SAT/ MoLab,SAT knee extension range captures the forward-upward tibial movement required for full knee straightening/ SAT peak knee extension velocity quantifies the speed of tibial forward displacement during rise/ MoLab shank angular velocity directly measures tibial forward angular movement speed
f3,Sträcker knä- och höftleder till neutralläge för stående,uppr_total_knee_extension/ uppr_total_hip_extension,SAT,SAT knee extension range confirms full knee straightening toward neutral standing position/ SAT hip extension range confirms full hip straightening toward neutral standing position
f3,Bålen vinklas upp till neutral stående utgångsposition,uppr_trunk_reextension_angle,SAT,SAT trunk re-extension angle directly quantifies how close the trunk returns to the upright neutral standing position
f3,Nacke och skuldror följer hela bålens rörelse.,forb_mean_head_trunk_angle,SAT,SAT head-trunk angle is the best available proxy for whether neck and shoulders follow the trunk movement
f3,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,forb_rms_wrist_acceleration,SAT,SAT wrist acceleration captures whether arms follow the movement passively throughout the rise
